                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.81894,                 1.9111,                0.72466,                 0.9945,                0.87062,                0.81881,                0.88365,                0.72222,                0.83894,                0.78198,                0.83322,                0.57653,                0.76454,                 1.7621,                0.58324,                0.94296,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.86509,                 1.9727,                0.76898,                 1.0199,                0.87878,                0.81839,                0.88361,                0.72547,                0.84051,                0.78199,                0.83142,                0.57496,                0.76065,                 1.7606,                0.58069,                0.94136,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.84469,                 1.9139,                 0.7802,                 1.0197,                0.87595,                0.82063,                0.88369,                0.72335,                0.83543,                0.78482,                 0.8312,                0.57609,                0.75732,                 1.7569,                 0.5775,                0.93994,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.83757,                 1.9792,                0.74996,                0.99953,                 0.8774,                 0.8344,                0.88778,                0.72522,                0.82364,                0.79363,                0.82981,                 0.5752,                0.75648,                 1.7514,                0.57413,                0.93934,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.86942,                 1.9897,                0.76672,                 1.0044,                0.87937,                 0.8325,                0.88903,                0.72866,                0.83724,                0.78041,                0.83038,                0.57815,                0.75598,                  1.749,                0.57095,                0.93782,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.84102,                 1.8892,                0.73716,                 1.0097,                0.87588,                0.83802,                0.89023,                0.73171,                0.83195,                0.79156,                0.83082,                0.57738,                0.75446,                 1.7448,                0.56824,                  0.936,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 0.8427,                 1.9365,                0.74924,                 1.0052,                0.87772,                0.82928,                 0.8875,                0.72872,                 0.8368,                0.78528,                0.83117,                0.58064,                0.75341,                  1.743,                0.56663,                0.93415,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.82444,                 1.8859,                 0.7179,                0.99028,                0.87566,                0.83177,                0.88839,                0.72816,                0.83746,                0.78883,                0.82974,                0.57695,                 0.7522,                 1.7401,                0.56426,                0.93369,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.84279,                 1.9157,                0.73668,                0.99949,                0.87709,                0.83488,                0.89009,                0.72824,                0.84271,                0.78471,                0.82897,                0.57496,                 0.7493,                 1.7379,                0.56224,                0.93233,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 0.8117,                  1.893,                  0.707,                 1.0049,                0.87444,                0.84138,                0.89074,                  0.733,                 0.8446,                0.78514,                0.83004,                0.57589,                0.74774,                 1.7333,                0.56047,                0.93166,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.80638,                 1.8993,                0.70726,                 1.0034,                  0.889,                0.82984,                 0.8924,                0.73235,                0.86005,                0.77844,                0.83267,                0.57566,                0.74546,                 1.7271,                0.55781,                0.93041,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81115,                 1.9109,                0.71837,                 1.0051,                0.89123,                0.83119,                0.89245,                0.73468,                0.85751,                0.78856,                0.83715,                0.57962,                0.74447,                 1.7225,                0.55626,                0.93029,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.81901,                 1.8442,                0.70278,                0.99231,                0.89419,                0.83022,                0.89105,                0.73314,                0.85037,                0.78835,                0.83314,                0.58073,                0.74222,                 1.7162,                0.55348,                0.92944,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.81288,                 1.9071,                 0.7226,                 0.9924,                 0.8963,                 0.8242,                0.88806,                0.73404,                0.86172,                0.78729,                0.83709,                0.58217,                0.74117,                 1.7132,                0.55326,                0.92931,             3.6533e-05,             3.6533e-05,             3.6533e-05
